cms_certification_number,months_removed,months_kept,all_removed
205172,8,7,False
205176,78,18,False
215110,85,2,False
215283,77,10,False
215289,9,0,True
215291,77,1,False
215310,91,2,False
215314,68,1,False
225692,53,1,False
225758,6,0,True
225759,76,14,False
225774,70,20,False
225778,34,65,False
225783,33,66,False
225784,39,12,False
235006,82,2,False
235041,85,14,False
235051,80,1,False
235074,90,3,False
235075,97,2,False
235143,97,2,False
235150,91,2,False
235161,56,1,False
235192,97,2,False
235201,68,25,False
235205,80,13,False
235295,85,14,False
235373,34,56,False
235381,20,55,False
235407,91,2,False
235460,94,2,False
235472,97,2,False
235481,22,77,False
235523,82,11,False
235567,97,2,False
235577,97,2,False
235585,74,25,False
235624,79,17,False
235705,43,53,False
235708,8,85,False
235713,53,1,False
23E362,68,1,False
245045,74,7,False
245114,12,87,False
245127,81,15,False
245170,50,46,False
245212,57,36,False
245218,53,46,False
245228,46,53,False
245231,21,78,False
245232,72,18,False
245238,61,38,False
245240,12,72,False
245241,74,1,False
245243,67,32,False
245244,22,77,False
245247,50,40,False
245251,56,10,False
245253,66,33,False
245263,97,2,False
245265,75,18,False
245274,3,0,True
245341,73,26,False
245357,49,50,False
245382,50,49,False
245384,91,2,False
245392,32,67,False
245396,80,19,False
245410,90,9,False
245416,75,21,False
245420,97,2,False
245428,88,2,False
245433,89,10,False
245451,91,8,False
245454,1,86,False
245458,63,24,False
245467,97,2,False
245469,85,2,False
245470,55,44,False
245485,88,11,False
245486,90,9,False
245487,83,13,False
245511,29,70,False
245512,74,25,False
245519,86,13,False
245529,44,55,False
245580,70,23,False
245616,65,34,False
255050,67,26,False
255072,70,2,False
255130,97,2,False
255137,97,2,False
255163,10,89,False
255168,97,2,False
255220,17,19,False
255230,71,1,False
255306,33,60,False
255317,3,0,True
255331,55,38,False
255333,14,82,False
255335,91,2,False
255346,45,45,False
255349,47,1,False
255350,14,1,False
25A156,33,0,True
25A174,87,9,False
25A178,91,2,False
25A188,88,2,False
25A190,55,41,False
25A233,91,5,False
25A374,52,26,False
25A380,94,2,False
25A389,59,40,False
25A414,94,2,False
25A422,24,57,False
265289,91,2,False
265327,97,2,False
265414,4,92,False
265429,91,2,False
265561,89,1,False
265725,27,0,True
265842,91,2,False
265845,83,1,False
26A300,6,0,True
26A381,20,1,False
26A469,83,1,False
26A494,15,0,True
26E421,3,3,False
275012,92,7,False
275061,12,81,False
275065,94,2,False
275067,58,14,False
275070,42,33,False
275071,3,0,True
275072,94,2,False
275085,9,0,True
275093,91,5,False
275106,54,18,False
275107,88,2,False
275109,97,2,False
275112,72,21,False
275116,30,0,True
275119,54,45,False
275121,62,37,False
285004,97,2,False
285081,71,19,False
285119,85,11,False
285167,9,0,True
285282,70,26,False
285284,51,48,False
285290,29,19,False
285292,59,34,False
285296,73,20,False
285297,12,84,False
285304,62,1,False
28E173,39,60,False
28E180,50,46,False
28E191,57,39,False
28E195,24,0,True
28E199,28,2,False
28E257,53,37,False
28E271,51,42,False
28E278,27,0,True
28E297,6,0,True
28E302,32,1,False
295000,91,2,False
295001,97,2,False
295011,97,2,False
295017,11,88,False
295024,94,2,False
295026,79,2,False
295046,94,2,False
295048,20,1,False
295063,44,1,False
295087,4,65,False
30E062,93,3,False
315017,91,2,False
315019,35,61,False
315127,46,44,False
315194,20,58,False
315239,97,2,False
315389,26,1,False
315431,47,1,False
315442,71,16,False
315443,89,10,False
315461,24,75,False
315478,56,1,False
315490,91,2,False
315495,38,7,False
315505,62,1,False
315512,94,2,False
325079,74,13,False
325101,21,6,False
325102,27,0,True
32E027,22,77,False
335023,53,28,False
335034,97,2,False
335072,68,28,False
335092,94,2,False
335098,64,32,False
335127,67,26,False
335197,56,43,False
335204,94,2,False
335220,97,2,False
335289,92,4,False
335308,97,2,False
335313,97,2,False
335337,73,2,False
335339,73,20,False
335345,97,2,False
335351,94,2,False
335355,83,1,False
335361,76,23,False
335364,71,22,False
335369,23,76,False
335375,94,2,False
335376,91,2,False
335381,97,2,False
335403,97,2,False
335419,97,2,False
335427,79,2,False
335428,97,2,False
335431,79,8,False
335435,97,2,False
335436,97,2,False
335442,94,2,False
335515,30,63,False
335537,45,45,False
335563,68,25,False
335620,70,29,False
335636,23,70,False
335639,25,23,False
335650,94,2,False
335669,71,25,False
335688,71,1,False
335692,91,2,False
335700,58,41,False
335702,30,69,False
335705,68,19,False
335706,86,1,False
335768,79,14,False
335785,35,61,False
335801,26,67,False
335823,82,2,False
335851,53,1,False
335853,41,37,False
335856,32,1,False
335857,70,29,False
335862,32,1,False
335864,32,1,False
335865,62,10,False
335868,18,0,True
335869,55,32,False
335870,86,1,False
335871,94,2,False
335873,91,2,False
335874,7,89,False
335877,12,0,True
345004,71,10,False
345045,8,85,False
345054,50,49,False
345091,50,43,False
345097,40,44,False
345166,69,21,False
345190,17,82,False
345245,71,13,False
345249,32,55,False
345273,49,47,False
345278,59,37,False
345306,97,2,False
345331,36,60,False
345350,78,15,False
345369,5,88,False
345386,83,16,False
345412,54,24,False
345431,15,30,False
345437,64,26,False
345446,11,88,False
345467,3,30,False
345484,40,17,False
355032,74,1,False
355034,97,2,False
355037,91,2,False
355054,53,1,False
355061,97,2,False
355068,97,2,False
355074,60,36,False
355076,92,1,False
355087,94,2,False
355091,94,2,False
355115,94,2,False
355117,65,1,False
365083,12,0,True
365569,40,5,False
365668,75,21,False
365723,14,85,False
365724,65,7,False
365781,30,42,False
365807,48,12,False
365943,70,29,False
365967,41,1,False
366048,38,1,False
366049,24,48,False
366172,18,0,True
366405,72,27,False
375079,15,0,True
375127,6,0,True
375562,22,74,False
385115,6,45,False
