cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
015455,2,1,2018-06|2021-10,2021-10,2018-06,2021-10,2021-10,2021-10,1,1,both_yes_different_months,1,-40.0,True,True,0.5,2018-06,
015458,1,0,2021-04,,2021-04,,2021-04,,0,0,only_lite,1,,False,False,0.0,2021-04,
015459,1,0,2023-02,,2023-02,,2023-02,,0,0,only_lite,1,,False,False,0.0,2023-02,
015460,1,0,2017-03,,2017-03,,2017-03,,0,0,only_lite,1,,False,False,0.0,2017-03,
015467,1,0,2023-03,,2023-03,,2023-03,,0,0,only_lite,1,,False,False,0.0,2023-03,
015469,1,0,2019-12,,2019-12,,2019-12,,0,0,only_lite,1,,False,False,0.0,2019-12,
025025,2,0,2024-05|2024-08,,2024-05,,2024-08,,0,0,only_lite,1,,False,False,0.0,2024-05|2024-08,
025038,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
025039,1,0,2019-01,,2019-01,,2019-01,,0,0,only_lite,1,,False,False,0.0,2019-01,
035068,1,1,2017-06,2017-08,2017-06,2017-08,2017-06,2017-08,0,0,both_yes_different_months,1,-2.0,False,False,0.0,2017-06,2017-08
035071,1,0,2019-08,,2019-08,,2019-08,,0,0,only_lite,1,,False,False,0.0,2019-08,
035072,1,0,2019-02,,2019-02,,2019-02,,0,0,only_lite,1,,False,False,0.0,2019-02,
035085,1,0,2019-07,,2019-07,,2019-07,,0,0,only_lite,1,,False,False,0.0,2019-07,
035086,1,0,2017-11,,2017-11,,2017-11,,0,0,only_lite,1,,False,False,0.0,2017-11,
035090,3,1,2017-03|2018-12|2020-01,2020-01,2017-03,2020-01,2020-01,2020-01,1,1,both_yes_different_months,1,-34.0,True,True,0.3333333333333333,2017-03|2018-12,
035094,1,0,2019-07,,2019-07,,2019-07,,0,0,only_lite,1,,False,False,0.0,2019-07,
035096,1,0,2020-03,,2020-03,,2020-03,,0,0,only_lite,1,,False,False,0.0,2020-03,
035097,1,0,2017-02,,2017-02,,2017-02,,0,0,only_lite,1,,False,False,0.0,2017-02,
035099,2,1,2018-08|2021-11,2021-10,2018-08,2021-10,2021-11,2021-10,0,1,both_yes_different_months,1,-38.0,False,True,0.0,2018-08|2021-11,2021-10
035101,0,1,,2015-10,,2015-10,,2015-10,0,0,only_mcr,1,,False,False,0.0,,2015-10
035105,0,1,,2015-10,,2015-10,,2015-10,0,0,only_mcr,1,,False,False,0.0,,2015-10
035106,1,0,2020-04,,2020-04,,2020-04,,0,0,only_lite,1,,False,False,0.0,2020-04,
035121,1,0,2022-06,,2022-06,,2022-06,,0,0,only_lite,1,,False,False,0.0,2022-06,
035125,2,1,2023-03|2024-04,2023-03,2023-03,2023-03,2024-04,2023-03,1,1,both_yes_different_months,1,0.0,True,True,0.5,2024-04,
035127,1,0,2022-06,,2022-06,,2022-06,,0,0,only_lite,1,,False,False,0.0,2022-06,
035136,1,0,2021-01,,2021-01,,2021-01,,0,0,only_lite,1,,False,False,0.0,2021-01,
035144,1,0,2018-01,,2018-01,,2018-01,,0,0,only_lite,1,,False,False,0.0,2018-01,
035147,2,0,2022-05|2022-07,,2022-05,,2022-07,,0,0,only_lite,1,,False,False,0.0,2022-05|2022-07,
