cms_certification_number,num_chows_lite,num_chows_mcr,lite_dates,mcr_dates,first_lite_date,first_mcr_date,last_lite_date,last_mcr_date,n_common_exact,n_common_within_1m,match_type,discrepancy_flag,delta_first_months,within_0m,within_1m,jaccard_months,only_in_lite_dates,only_in_mcr_dates
555186,1,0,2018-06,,2018-06,,2018-06,,0,0,only_lite,1,,False,False,0.0,2018-06,
555189,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
555190,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
555195,3,0,2020-12|2023-06|2024-04,,2020-12,,2024-04,,0,0,only_lite,1,,False,False,0.0,2020-12|2023-06|2024-04,
555199,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
555200,1,0,2022-03,,2022-03,,2022-03,,0,0,only_lite,1,,False,False,0.0,2022-03,
555204,1,0,2017-01,,2017-01,,2017-01,,0,0,only_lite,1,,False,False,0.0,2017-01,
555206,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
555207,0,0,,,,,,,0,0,both_zero,0,,False,False,1.0,,
555208,5,0,2017-01|2018-07|2021-11|2023-06|2024-04,,2017-01,,2024-04,,0,0,only_lite,1,,False,False,0.0,2017-01|2018-07|2021-11|2023-06|2024-04,
