cms_certification_number,first_month,last_month,months_observed,months_expected,months_missing,has_gaps
015331,2017-01,2025-03,99,99,0,False
015336,2017-01,2025-03,96,99,3,True
015361,2017-01,2025-03,81,99,18,True
015369,2017-01,2025-03,96,99,3,True
015371,2017-01,2025-03,96,99,3,True
015372,2017-04,2025-03,93,96,3,True
015373,2017-01,2025-03,93,99,6,True
015374,2017-01,2025-03,72,99,27,True
015375,2017-01,2025-03,96,99,3,True
015376,2017-01,2025-03,99,99,0,False
015378,2017-01,2025-03,99,99,0,False
015379,2017-01,2025-03,96,99,3,True
015381,2017-01,2025-03,99,99,0,False
015382,2017-01,2025-03,99,99,0,False
015383,2017-01,2025-03,99,99,0,False
015386,2017-01,2025-03,99,99,0,False
015388,2017-01,2025-03,96,99,3,True
015390,2017-01,2025-03,99,99,0,False
015391,2017-01,2025-03,96,99,3,True
015392,2017-01,2025-03,99,99,0,False
015393,2017-01,2025-03,99,99,0,False
015396,2017-01,2025-03,99,99,0,False
015397,2017-01,2025-03,99,99,0,False
015398,2017-01,2025-03,96,99,3,True
015400,2017-04,2025-03,96,96,0,False
015402,2017-01,2025-03,99,99,0,False
015403,2017-01,2025-03,93,99,6,True
015404,2017-01,2025-03,99,99,0,False
015406,2017-10,2025-03,87,90,3,True
015407,2017-01,2025-03,99,99,0,False
015408,2017-07,2025-03,87,93,6,True
015410,2017-01,2023-12,81,84,3,True
015411,2017-01,2025-03,99,99,0,False
015413,2017-04,2025-03,84,96,12,True
015414,2017-01,2025-03,93,99,6,True
015415,2017-07,2019-12,9,30,21,True
015416,2017-01,2025-03,93,99,6,True
015417,2017-04,2025-03,93,96,3,True
015419,2017-01,2025-03,99,99,0,False
015420,2017-01,2025-03,90,99,9,True
015422,2017-01,2025-03,96,99,3,True
015423,2017-01,2025-03,99,99,0,False
015424,2017-01,2025-03,99,99,0,False
015425,2017-01,2025-03,99,99,0,False
015426,2017-01,2025-03,99,99,0,False
015429,2017-01,2025-03,96,99,3,True
015431,2017-01,2025-03,96,99,3,True
015433,2017-01,2025-03,90,99,9,True
015434,2017-01,2025-03,99,99,0,False
015435,2017-01,2025-03,96,99,3,True
015436,2017-01,2025-03,99,99,0,False
015437,2017-01,2025-03,99,99,0,False
015440,2017-01,2025-03,96,99,3,True
015442,2017-01,2025-03,90,99,9,True
015443,2017-01,2025-03,96,99,3,True
015445,2017-07,2025-03,72,93,21,True
015446,2017-01,2025-03,96,99,3,True
015447,2017-01,2025-03,90,99,9,True
015448,2017-01,2025-03,96,99,3,True
015450,2017-01,2025-03,99,99,0,False
015451,2017-01,2025-03,96,99,3,True
015452,2017-01,2025-03,93,99,6,True
015453,2017-01,2025-03,96,99,3,True
015454,2017-01,2025-03,99,99,0,False
015455,2017-01,2025-03,93,99,6,True
015456,2017-01,2025-03,96,99,3,True
015457,2017-01,2025-03,99,99,0,False
015458,2017-01,2025-03,99,99,0,False
015459,2017-01,2025-03,99,99,0,False
015460,2017-04,2025-03,93,96,3,True
