cms_certification_number,from_group,to_group,from_start,from_end,to_start,to_end,from_level,to_level,turnover_pct,overlap_pct,method,bucket_code,bucket_label,surname_keep_pct,surname_override,inconclusive,is_chow
015060,1,2,2012-10-01,2012-10-01,2012-10-22,2012-10-22,indirect,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015060,2,3,2012-10-22,2012-10-22,2022-01-27,2022-01-27,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015063,1,2,1994-05-10,1994-05-10,2006-03-15,2006-03-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015063,2,3,2006-03-15,2006-03-15,2011-11-15,2011-11-15,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015063,3,4,2011-11-15,2011-11-15,2016-07-01,2016-07-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015063,4,5,2016-07-01,2016-07-01,2016-11-01,2016-11-01,indirect,indirect,66.7,33.3,0,4,60–70,33.3,False,False,False
015063,5,6,2016-11-01,2016-11-01,2021-11-19,2021-11-19,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015063,6,7,2021-11-19,2021-11-19,2022-04-01,2022-04-04,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015065,1,2,2002-08-16,2002-08-16,2012-12-27,2012-12-27,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015065,2,3,2012-12-27,2012-12-27,2013-06-30,2013-06-30,indirect,indirect,100.0,0.0,0,1,90–100,100.0,True,False,False
015067,1,2,2009-02-15,2009-02-15,2012-12-01,2012-12-01,direct,indirect,100.0,0.0,0,1,90–100,15.4,False,False,False
015067,2,3,2012-12-01,2012-12-01,2015-02-02,2015-02-02,indirect,indirect,92.3,7.7,0,1,90–100,15.4,False,False,False
015067,3,4,2015-02-02,2015-02-02,2015-03-02,2015-03-02,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015067,4,5,2015-03-02,2015-03-02,2016-01-01,2016-01-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015067,5,6,2016-01-01,2016-01-01,2019-04-01,2019-04-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015067,6,7,2019-04-01,2019-04-01,2024-03-01,2024-03-01,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015071,1,2,2013-12-23,2013-12-23,2022-10-01,2022-10-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015075,1,2,2009-10-19,2009-10-19,2020-01-01,2020-01-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,True
015075,2,3,2020-01-01,2020-01-01,2021-01-01,2021-01-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015084,1,2,2003-11-21,2003-11-21,2017-02-21,2017-02-21,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015084,2,3,2017-02-21,2017-02-21,2021-11-19,2021-11-19,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015084,3,4,2021-11-19,2021-11-19,2022-04-04,2022-04-04,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015089,1,2,2003-11-01,2003-11-01,2016-12-31,2016-12-31,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015100,1,2,2003-11-01,2003-11-01,2016-12-31,2016-12-31,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015101,1,2,2006-01-01,2006-01-01,2011-01-26,2022-05-01,direct,direct,100.0,0.0,0,1,90–100,0.0,False,False,False
015103,1,2,2013-03-29,2013-03-29,2013-06-30,2013-06-30,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,False
015103,2,3,2013-06-30,2013-06-30,2013-07-01,2013-07-01,indirect,indirect,100.0,0.0,0,1,90–100,100.0,True,False,False
015104,1,2,2004-01-01,2004-01-01,2022-07-01,2022-07-01,direct,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
015111,1,2,1996-10-10,1996-10-10,2014-01-13,2014-01-13,indirect,indirect,66.7,33.3,0,4,60–70,33.3,False,False,False
015111,2,3,2014-01-13,2014-01-13,2021-11-19,2021-11-19,indirect,indirect,100.0,0.0,0,1,90–100,0.0,False,False,True
