cms_certification_number,num_chows,first_seen_month,present_at_start,entered_after_start,bucket_0_count,bucket_1_count,bucket_2_count,bucket_3_count,bucket_4_count,bucket_5_count,bucket_6_count,chow_date_1,chow_magnitude_1,chow_method_1,chow_inconcl_1,chow_date_2,chow_magnitude_2,chow_method_2,chow_inconcl_2,chow_date_3,chow_magnitude_3,chow_method_3,chow_inconcl_3,chow_date_4,chow_magnitude_4,chow_method_4,chow_inconcl_4,chow_date_5,chow_magnitude_5,chow_method_5,chow_inconcl_5,chow_date_6,chow_magnitude_6,chow_method_6,chow_inconcl_6,chow_date_7,chow_magnitude_7,chow_method_7,chow_inconcl_7,chow_date_8,chow_magnitude_8,chow_method_8,chow_inconcl_8,chow_date_9,chow_magnitude_9,chow_method_9,chow_inconcl_9
015098,0,2005-04-30,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015100,0,2003-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015101,0,2006-01-31,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015103,0,2013-03-31,True,False,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015104,1,2004-01-31,True,False,0,1,0,0,0,0,0,2022-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015109,0,2002-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015111,2,1996-10-31,True,False,0,2,0,0,1,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015112,0,2003-07-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015113,2,2009-02-28,True,False,0,4,0,0,0,0,0,2019-04-01,100.0,0.0,False,2024-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015114,1,1971-01-31,True,False,0,1,0,0,0,0,0,2018-05-18,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015115,1,2002-07-31,True,False,0,0,0,0,1,0,0,2017-08-31,66.7,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015116,1,2014-06-30,True,False,0,1,0,0,0,0,0,2018-05-08,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015117,0,2002-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015119,3,2005-10-31,True,False,0,6,0,0,0,0,0,2017-12-01,100.0,0.0,False,2019-12-16,100.0,0.0,False,2023-08-25,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015120,0,2002-01-31,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015121,0,2016-02-29,True,False,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015126,0,2015-03-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015127,3,1992-08-31,True,False,0,6,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,2023-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015128,0,2001-01-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015129,0,2003-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015132,2,1994-05-31,True,False,0,6,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015133,2,2009-02-28,True,False,0,4,0,1,0,0,0,2019-04-01,100.0,0.0,False,2024-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015134,0,2003-05-31,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015136,1,1997-07-31,True,False,0,1,0,0,0,0,0,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015137,1,2016-05-31,True,False,0,2,0,0,0,0,0,2022-05-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015138,0,2009-06-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015139,1,2002-10-31,True,False,0,1,0,0,0,0,0,2019-09-30,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015141,0,2014-11-30,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015142,0,2002-11-30,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015143,1,2014-03-31,True,False,0,1,0,0,0,0,0,2019-01-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015144,4,2014-01-31,True,False,0,4,0,0,0,0,0,2018-05-01,100.0,0.0,False,2021-09-15,100.0,0.0,False,2021-10-25,100.0,0.0,False,2023-08-02,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,
015145,2,1994-05-31,True,False,0,4,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015147,2,2014-07-31,True,False,0,5,0,0,0,0,0,2019-04-01,100.0,0.0,False,2024-03-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015148,2,1994-05-31,True,False,0,4,0,0,0,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015149,0,2004-07-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015151,3,2013-06-30,True,False,0,3,0,0,0,0,0,2018-09-01,100.0,0.0,False,2021-05-01,100.0,0.0,False,2023-06-20,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,
015152,1,2007-10-31,True,False,0,1,0,0,0,0,0,2024-07-01,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015153,0,2003-07-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015155,0,2007-12-31,True,False,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015156,0,2003-11-30,True,False,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015157,1,2007-10-31,True,False,0,1,0,0,0,0,0,2023-03-24,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015158,1,2020-03-31,False,True,0,1,0,0,0,0,0,2022-05-13,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015159,2,1994-05-31,True,False,0,2,0,0,1,0,0,2021-11-19,100.0,0.0,False,2022-04-04,100.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015160,0,2007-08-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015162,0,2016-07-31,True,False,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
