cms_certification_number,S2_2_CHOWDATE,chow_order
105484,2022-03-01,1
105486,2018-11-01,1
105486,2022-05-01,2
105487,2022-04-01,1
105488,2022-07-27,1
105491,2018-06-01,1
105491,2022-05-01,2
105492,2022-04-01,1
105494,2020-11-03,1
105495,2023-09-29,1
105497,2020-04-20,1
105498,2023-03-31,1
105503,2020-01-01,1
105505,2022-03-31,1
105506,2018-01-01,1
105507,2023-09-01,1
105509,2020-11-03,1
105510,2022-07-27,1
105513,2021-11-08,1
105514,2020-11-03,1
105518,2019-08-01,1
105519,2018-09-17,1
105522,2022-07-27,1
105523,2019-08-01,1
105525,2017-03-31,1
105525,2017-04-01,2
105526,2022-09-30,1
105528,2019-01-01,1
105530,2023-09-05,1
105531,2023-09-01,1
105532,2022-04-01,1
105543,2021-09-30,1
105546,2021-07-31,1
105546,2023-08-11,2
105547,2020-11-03,1
105549,2023-09-01,1
105550,2022-10-07,1
105552,2020-03-08,1
105554,2022-10-27,1
105555,2016-03-01,1
105558,2023-11-02,1
105564,2023-12-01,1
105565,2020-11-03,1
105570,2021-11-01,1
105575,2015-12-01,1
105575,2023-08-01,2
105578,2023-09-01,1
105579,2021-07-31,1
105579,2023-08-11,2
105580,2022-07-27,1
105586,2021-07-31,1
105586,2023-08-11,2
105587,2023-09-01,1
105588,2023-11-02,1
105596,2021-11-08,1
105597,2022-10-08,1
105599,2023-05-05,1
105601,2022-04-01,1
105602,2021-04-01,1
105606,2015-11-01,1
105606,2020-03-09,2
105609,2018-09-17,1
105611,2023-09-01,1
105612,2022-04-01,1
105613,2022-04-01,1
105616,2021-01-01,1
105623,2020-12-01,1
105627,2020-01-01,1
105631,2023-09-01,1
105634,2020-11-03,1
105638,2015-12-01,1
105638,2023-08-01,2
105640,2022-07-27,1
105641,2018-09-17,1
105644,2023-09-01,1
105649,2022-07-27,1
105651,2023-06-01,1
105653,2023-12-01,1
105658,2023-06-05,1
105659,2022-01-31,1
105663,2023-09-01,1
105664,2020-04-01,1
105665,2023-09-01,1
105666,2018-11-15,1
105680,2018-09-17,1
105683,2020-11-03,1
105684,2021-08-01,1
105684,2022-09-09,2
105685,2022-01-31,1
105688,2022-04-01,1
105691,2020-01-01,1
105692,2021-08-01,1
105692,2022-09-09,2
105693,2022-04-01,1
105696,2020-11-03,1
105700,2018-09-19,1
105702,2021-09-30,1
105706,2021-09-30,1
105707,2018-06-27,1
105708,2023-05-05,1
105709,2018-09-17,1
105711,2021-09-01,1
105712,2022-07-27,1
105718,2023-12-01,1
105721,2018-12-31,1
105721,2020-12-27,2
105723,2023-05-05,1
105727,2022-10-27,1
105734,2023-02-28,1
105747,2022-04-01,1
105751,2022-04-01,1
105755,2023-04-01,1
105756,2017-05-01,1
105761,2022-07-27,1
105762,2023-05-05,1
105764,2023-11-02,1
105765,2016-08-28,1
105765,2020-11-22,2
105765,2023-08-31,3
105774,2016-08-28,1
105774,2020-11-22,2
105774,2023-08-31,3
105777,2023-08-31,1
105782,2023-06-04,1
105783,2023-06-05,1
105786,2022-04-01,1
105795,2023-12-01,1
105802,2017-08-26,1
105802,2021-09-19,2
105803,2021-12-31,1
105804,2020-10-01,1
105804,2023-09-01,2
105805,2020-07-01,1
105805,2022-05-01,2
105808,2021-05-01,1
105816,2022-01-13,1
105820,2016-06-01,1
105822,2022-07-27,1
105824,2017-08-26,1
105824,2021-09-19,2
105824,2023-07-31,3
105825,2022-07-01,1
105826,2021-05-01,1
105828,2018-11-20,1
105834,2022-12-30,1
105835,2022-02-06,1
105839,2019-01-01,1
105842,2023-05-05,1
105843,2022-05-03,1
105849,2023-02-28,1
105860,2020-03-08,1
105861,2022-04-01,1
105864,2019-01-01,1
105870,2015-12-01,1
105875,2021-10-01,1
105884,2023-08-01,1
105885,2022-07-27,1
105888,2023-12-01,1
105890,2018-11-01,1
105891,2020-03-08,1
105892,2016-09-28,1
105895,2023-09-01,1
105903,2022-04-01,1
105910,2021-07-01,1
105911,2023-05-05,1
105917,2023-09-01,1
105924,2022-02-15,1
105927,2020-09-01,1
105930,2022-07-27,1
105935,2022-04-01,1
105937,2023-06-01,1
105939,2018-02-01,1
105951,2023-12-01,1
105952,2023-11-02,1
105955,2021-04-22,1
105959,2016-11-01,1
105963,2016-09-28,1
105965,2023-05-05,1
105972,2018-08-09,1
105978,2015-12-01,1
105978,2023-08-01,2
105980,2022-04-14,1
105982,2022-05-03,1
105983,2022-04-01,1
105985,2023-12-01,1
105986,2023-06-04,1
105995,2021-04-22,1
105996,2023-12-01,1
105998,2022-02-01,1
105998,2023-09-01,2
106000,2023-11-02,1
106002,2023-09-05,1
106003,2023-08-01,1
106005,2023-04-01,1
106007,2015-02-01,1
106009,2016-09-28,1
106011,2022-04-01,1
106012,2017-06-01,1
106015,2021-06-01,1
106017,2023-12-01,1
106020,2023-05-05,1
106021,2021-09-01,1
106024,2023-06-05,1
106025,2016-07-01,1
106028,2023-12-01,1
106029,2023-12-01,1
106032,2023-09-01,1
106033,2016-03-31,1
106034,2021-09-01,1
106036,2022-07-27,1
106040,2017-10-24,1
106041,2018-11-01,1
106041,2022-05-01,2
106043,2020-11-03,1
106045,2020-11-03,1
106046,2022-07-27,1
106051,2022-09-01,1
106054,2021-03-30,1
106058,2022-07-27,1
106061,2022-07-27,1
106065,2022-07-27,1
106069,2019-06-01,1
106072,2022-07-27,1
106074,2023-09-01,1
106075,2020-12-16,1
106081,2023-07-01,1
106089,2020-10-15,1
106091,2019-04-01,1
106091,2021-05-14,2
106092,2018-08-01,1
106092,2023-03-01,2
106093,2018-01-01,1
106093,2020-12-15,2
106095,2022-07-27,1
106097,2022-03-01,1
106100,2021-09-01,1
106103,2022-10-07,1
106114,2017-09-01,1
106114,2022-01-01,2
106116,2023-09-01,1
106117,2022-04-01,1
106118,2018-02-19,1
106119,2023-06-04,1
106123,2022-04-01,1
106126,2022-04-01,1
106127,2023-06-05,1
106132,2019-12-11,1
106133,2020-01-08,1
106136,2022-04-01,1
106138,2021-09-10,1
106143,2022-10-08,1
106152,2023-11-30,1
115012,2016-11-01,1
115012,2022-04-01,2
115025,2016-11-01,1
115025,2022-04-01,2
115040,2016-04-21,1
115044,2016-11-01,1
115044,2022-04-01,2
115090,2014-04-01,1
115110,2022-10-01,1
115144,2019-08-19,1
115145,2022-05-01,1
115150,2016-06-09,1
115206,2022-10-01,1
115246,2023-01-04,1
115265,2017-05-01,1
115270,2016-11-01,1
115270,2022-04-01,2
115280,2017-05-31,1
115280,2018-12-31,2
115283,2023-01-04,1
115289,2014-04-01,1
115291,2016-11-01,1
115291,2022-04-27,2
115293,2019-10-01,1
115298,2017-05-31,1
115298,2018-12-31,2
115321,2016-07-01,1
115322,2016-11-01,1
115322,2022-04-01,2
115329,2016-07-01,1
115340,2017-05-31,1
115340,2018-12-31,2
115348,2017-10-01,1
115354,2022-04-30,1
115354,2022-12-07,2
115356,2018-07-01,1
115360,2017-09-01,1
115360,2019-09-01,2
115360,2021-05-01,3
115361,2023-05-01,1
115362,2018-12-01,1
115363,2016-11-01,1
115363,2022-04-01,2
115365,2021-07-01,1
115373,2020-08-01,1
115377,2020-08-01,1
115385,2020-08-01,1
115397,2016-07-01,1
115404,2022-04-30,1
115404,2022-12-07,2
115406,2019-07-01,1
115411,2016-06-30,1
115411,2016-07-01,2
115412,2016-11-01,1
115412,2022-04-01,2
115414,2016-07-01,1
115424,2019-06-29,1
115424,2023-01-30,2
115427,2022-06-30,1
115430,2016-06-01,1
115435,2014-04-01,1
115463,2021-05-01,1
115469,2021-05-01,1
115479,2017-06-01,1
115482,2017-05-31,1
115482,2018-12-31,2
115484,2017-09-01,1
115495,2015-07-01,1
115501,2016-11-01,1
115501,2022-04-01,2
115502,2017-05-31,1
115502,2018-12-31,2
115504,2022-05-01,1
115508,2022-05-01,1
115524,2018-08-17,1
115536,2023-02-01,1
115537,2019-08-19,1
115537,2023-05-01,2
115538,2021-01-01,1
115541,2016-01-01,1
115543,2017-05-31,1
115543,2018-12-31,2
115544,2021-11-01,1
115546,2020-01-01,1
115550,2023-05-01,1
115553,2019-09-10,1
115555,2015-09-01,1
115562,2020-08-01,1
115563,2021-05-01,1
115564,2018-07-01,1
115565,2017-05-31,1
115565,2018-12-31,2
115566,2017-10-01,1
115569,2018-11-30,1
115571,2019-08-19,1
115575,2016-06-30,1
115575,2016-07-01,2
115577,2016-06-30,1
115577,2016-07-01,2
115580,2015-10-01,1
115585,2015-09-01,1
115587,2017-06-01,1
115587,2018-01-01,2
115587,2020-01-01,3
115592,2016-06-30,1
115592,2016-07-01,2
115596,2019-05-31,1
115601,2019-12-01,1
115604,2016-06-30,1
115604,2016-07-01,2
115606,2021-12-20,1
115619,2022-07-31,1
115622,2020-06-30,1
115622,2020-07-01,2
115624,2021-01-01,1
115624,2022-12-07,2
115625,2012-01-01,1
115626,2017-02-01,1
115630,2017-02-01,1
115633,2016-07-12,1
115633,2016-07-13,2
115635,2016-06-30,1
115635,2016-07-01,2
115636,2017-08-01,1
115643,2018-09-01,1
115644,2019-08-01,1
115654,2016-06-30,1
115654,2016-07-01,2
115657,2015-07-01,1
115660,2016-11-01,1
115660,2022-04-01,2
115679,2018-12-01,1
115683,2019-03-18,1
115686,2020-07-01,1
115703,2016-06-30,1
115703,2016-07-01,2
115710,2022-09-01,1
115720,2019-03-16,1
115723,2019-10-01,1
115727,2016-12-12,1
115730,2017-02-07,1
115733,2018-10-12,1
115774,2021-05-20,1
125011,2023-02-28,1
125042,2023-02-01,1
125043,2023-02-01,1
125057,2023-02-01,1
125065,2019-12-31,1
125066,2017-06-27,1
125069,2022-11-01,1
135010,2017-10-01,1
135014,2017-09-01,1
135015,2020-05-31,1
135019,2017-10-01,1
135021,2017-10-01,1
135042,2017-11-30,1
135048,2017-01-01,1
135051,2017-09-01,1
135052,2017-01-01,1
135053,2017-11-30,1
135058,2023-03-01,1
135065,2017-09-01,1
135067,2023-05-01,1
135069,2021-02-01,1
135076,2017-05-01,1
135077,2021-10-01,1
135079,2020-05-31,1
135080,2022-03-01,1
135092,2023-03-01,1
135093,2017-10-01,1
135094,2017-05-01,1
135095,2020-05-31,1
135098,2021-04-22,1
135102,2022-01-01,1
135104,2020-05-31,1
135105,2019-09-01,1
135110,2016-12-01,1
135116,2022-02-01,1
135125,2018-11-01,1
135130,2021-01-01,1
135134,2018-11-01,1
135138,2022-02-01,1
135139,2017-01-01,1
135140,2017-11-30,1
135142,2021-01-01,1
135143,2018-10-01,1
135143,2022-07-01,2
135145,2021-01-01,1
135145,2022-03-01,2
145000,2019-10-01,1
145004,2016-01-05,1
145004,2021-07-01,2
145008,2017-03-01,1
145011,2015-11-06,1
145016,2023-06-30,1
145021,2021-06-01,1
145031,2018-12-01,1
145039,2022-02-01,1
145043,2016-01-05,1
145044,2023-06-30,1
145045,2018-10-31,1
145045,2020-06-01,2
145058,2023-06-30,1
145062,2023-06-30,1
145070,2019-02-01,1
145087,2023-02-01,1
145135,2016-02-01,1
145135,2020-07-01,2
145136,2021-10-31,1
145151,2023-06-30,1
145160,2017-11-01,1
145171,2019-11-30,1
145183,2023-06-30,1
145190,2018-12-28,1
145208,2022-12-19,1
145211,2017-03-01,1
145213,2015-03-02,1
145221,2019-06-01,1
145235,2015-11-06,1
145243,2020-11-01,1
145244,2021-06-30,1
145246,2023-01-01,1
145247,2018-05-07,1
145248,2017-11-01,1
145261,2021-09-30,1
145267,2023-06-30,1
145271,2023-06-30,1
145273,2019-09-01,1
145278,2018-02-01,1
145286,2023-06-30,1
145295,2017-11-01,1
145304,2019-08-01,1
145307,2015-11-06,1
145309,2023-01-14,1
145319,2023-06-30,1
145323,2017-03-01,1
145334,2017-12-01,1
145337,2015-11-01,1
145337,2023-06-01,2
145338,2018-10-31,1
145339,2015-11-06,1
145358,2018-06-01,1
145363,2023-02-01,1
145364,2019-04-01,1
145367,2023-06-30,1
145371,2015-12-01,1
