cms_certification_number,num_chows,had_chow,chow_date_1,chow_date_2,chow_date_3,chow_date_4,chow_date_5,chow_date_6,chow_date_7,chow_date_8,chow_date_9,chow_date_10,chow_date_11,chow_date_12
035136,1,True,2021-01-28,,,,,,,,,,,
035144,1,True,2018-01-31,,,,,,,,,,,
035147,2,True,2022-05-01,2022-07-01,,,,,,,,,,
035158,1,True,2019-01-01,,,,,,,,,,,
035164,1,True,2017-06-13,,,,,,,,,,,
035166,2,True,2019-04-01,2021-11-05,,,,,,,,,,
035171,1,True,2019-02-28,,,,,,,,,,,
035175,1,True,2022-06-01,,,,,,,,,,,
035183,1,True,2019-02-28,,,,,,,,,,,
035193,1,True,2017-03-01,,,,,,,,,,,
035196,4,True,2018-11-01,2019-04-01,2023-09-01,2024-04-15,,,,,,,,
035199,2,True,2017-03-06,2017-12-31,,,,,,,,,,
035201,4,True,2017-03-06,2017-12-31,2018-12-31,2020-01-01,,,,,,,,
035207,1,True,2017-03-01,,,,,,,,,,,
035217,2,True,2018-02-01,2023-09-01,,,,,,,,,,
035225,4,True,2018-11-01,2019-04-01,2023-09-01,2024-04-15,,,,,,,,
035240,1,True,2017-06-01,,,,,,,,,,,
035244,1,True,2019-01-01,,,,,,,,,,,
035247,1,True,2023-03-01,,,,,,,,,,,
035249,1,True,2017-02-28,,,,,,,,,,,
035251,2,True,2019-09-16,2024-02-13,,,,,,,,,,
035255,2,True,2023-03-01,2024-04-15,,,,,,,,,,
035256,3,True,2018-04-04,2020-07-20,2020-07-31,,,,,,,,,
035257,2,True,2017-02-15,2024-01-01,,,,,,,,,,
035259,2,True,2017-12-31,2018-12-31,,,,,,,,,,
035260,3,True,2021-09-01,2021-12-28,2022-04-28,,,,,,,,,
035262,1,True,2017-02-28,,,,,,,,,,,
035266,5,True,2018-07-01,2021-01-01,2021-01-02,2023-07-01,2024-01-01,,,,,,,
035268,4,True,2021-01-01,2021-01-02,2023-07-01,2024-01-01,,,,,,,,
035270,4,True,2018-11-01,2019-04-01,2023-09-01,2024-04-15,,,,,,,,
035274,1,True,2019-03-08,,,,,,,,,,,
035275,5,True,2019-09-01,2021-01-01,2021-01-02,2023-07-01,2024-01-01,,,,,,,
035279,2,True,2021-12-28,2024-11-20,,,,,,,,,,
035280,1,True,2022-01-01,,,,,,,,,,,
035282,1,True,2022-01-01,,,,,,,,,,,
035283,1,True,2022-01-01,,,,,,,,,,,
035285,1,True,2024-04-10,,,,,,,,,,,
035286,1,True,2022-01-01,,,,,,,,,,,
035287,2,True,2018-11-16,2022-11-30,,,,,,,,,,
035290,2,True,2017-07-07,2023-08-01,,,,,,,,,,
035292,3,True,2019-05-01,2022-07-01,2023-01-01,,,,,,,,,
035293,1,True,2018-06-01,,,,,,,,,,,
035296,2,True,2020-02-14,2024-01-01,,,,,,,,,,
035297,1,True,2019-08-01,,,,,,,,,,,
035301,1,True,2021-08-08,,,,,,,,,,,
045070,2,True,2020-12-14,2022-01-01,,,,,,,,,,
045098,2,True,2019-01-23,2021-04-05,,,,,,,,,,
045134,1,True,2019-11-20,,,,,,,,,,,
045135,1,True,2019-11-20,,,,,,,,,,,
045138,2,True,2020-12-14,2022-01-01,,,,,,,,,,
045140,1,True,2019-11-20,,,,,,,,,,,
045142,1,True,2022-03-31,,,,,,,,,,,
045144,1,True,2018-01-01,,,,,,,,,,,
045146,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045147,2,True,2020-07-01,2022-01-01,,,,,,,,,,
045149,1,True,2020-07-01,,,,,,,,,,,
045151,2,True,2019-01-01,2022-01-01,,,,,,,,,,
045153,1,True,2024-05-01,,,,,,,,,,,
045155,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045157,2,True,2020-07-01,2022-01-01,,,,,,,,,,
045158,2,True,2019-07-01,2022-03-31,,,,,,,,,,
045168,1,True,2024-12-12,,,,,,,,,,,
045170,2,True,2019-03-01,2022-01-01,,,,,,,,,,
045176,1,True,2022-07-01,,,,,,,,,,,
045180,1,True,2019-11-20,,,,,,,,,,,
045182,3,True,2020-12-30,2020-12-31,2022-01-01,,,,,,,,,
045184,3,True,2020-07-01,2021-06-30,2024-08-01,,,,,,,,,
045187,1,True,2022-01-01,,,,,,,,,,,
045189,1,True,2022-03-31,,,,,,,,,,,
045190,3,True,2022-08-01,2022-08-31,2023-08-31,,,,,,,,,
045191,1,True,2019-01-01,,,,,,,,,,,
045192,1,True,2022-03-31,,,,,,,,,,,
045194,3,True,2018-01-01,2019-06-30,2022-01-01,,,,,,,,,
045195,1,True,2019-11-20,,,,,,,,,,,
045197,1,True,2022-03-31,,,,,,,,,,,
045199,2,True,2020-07-01,2022-01-01,,,,,,,,,,
045202,1,True,2024-12-12,,,,,,,,,,,
045203,1,True,2019-11-20,,,,,,,,,,,
045207,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045211,1,True,2023-03-31,,,,,,,,,,,
045212,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045216,3,True,2022-01-14,2022-05-16,2022-08-15,,,,,,,,,
045217,1,True,2021-01-01,,,,,,,,,,,
045228,1,True,2018-11-01,,,,,,,,,,,
045232,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045236,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045239,2,True,2020-07-01,2022-01-01,,,,,,,,,,
045242,2,True,2018-07-01,2023-04-01,,,,,,,,,,
045243,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045245,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045250,1,True,2019-01-01,,,,,,,,,,,
045254,1,True,2022-06-01,,,,,,,,,,,
045256,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045259,3,True,2019-01-23,2021-04-05,2023-01-01,,,,,,,,,
045268,1,True,2023-01-16,,,,,,,,,,,
045269,2,True,2020-06-15,2022-06-01,,,,,,,,,,
045270,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045271,2,True,2018-04-09,2018-08-01,,,,,,,,,,
045275,3,True,2018-10-01,2021-02-19,2022-03-31,,,,,,,,,
045277,1,True,2023-03-31,,,,,,,,,,,
045284,2,True,2019-09-01,2022-01-01,,,,,,,,,,
045287,1,True,2017-01-01,,,,,,,,,,,
045288,2,True,2017-06-07,2021-07-01,,,,,,,,,,
045295,1,True,2018-07-01,,,,,,,,,,,
045297,1,True,2018-11-01,,,,,,,,,,,
045305,2,True,2020-07-01,2022-01-01,,,,,,,,,,
045306,1,True,2021-08-16,,,,,,,,,,,
045313,1,True,2018-07-01,,,,,,,,,,,
045314,1,True,2018-02-01,,,,,,,,,,,
045315,2,True,2018-11-01,2021-01-27,,,,,,,,,,
045318,2,True,2021-10-27,2022-06-14,,,,,,,,,,
045323,2,True,2018-07-01,2023-04-01,,,,,,,,,,
045326,1,True,2018-07-01,,,,,,,,,,,
045327,1,True,2017-01-01,,,,,,,,,,,
